time,value
4.58,5.736846879424459e-07
4.55,5.250818065480219e-08
4.52,3.995827690960336e-08
4.49,2.5246887166266315e-05
4.46,2.8620499906088625e-05
4.43,2.7832514941051646e-05
4.3999999999999995,3.835063092959672e-06
4.37,0.99394000989067
4.34,0.9989886634787176
4.31,0.9991586274850548
4.28,0.9967611106491725
4.25,0.9993529083391386
4.22,4.6332249446450166e-08
4.1899999999999995,9.89700771989779e-07
4.16,9.165996494245621e-07
4.13,1.8202294948672946e-06
4.1,1.7282969766473946e-05
4.07,4.202866789588774e-06
4.04,1.997370594762106e-06
4.01,2.5789646638611314e-06
3.98,1.7570976606081682e-06
3.9499999999999997,1.8677761273906065e-06
3.92,2.173366642846857e-06
3.8899999999999997,2.512052066936738e-06
3.86,2.358728553668252e-06
3.83,1.8536780622056837e-06
3.8,3.0371274454915455e-06
3.7699999999999996,1.7304746741807206e-06
3.7399999999999998,3.7539841421421235e-06
3.71,2.2478452448948743e-05
3.6799999999999997,1.1823281328329915e-06
3.65,2.5846920013541857e-06
3.62,3.4004541652442288e-06
3.59,1.6413612879334363e-05
3.5599999999999996,1.4880260709852345e-06
3.53,1.479264286943421e-06
3.5,1.2439403058254324e-06
3.4699999999999998,2.2461176824444187e-05
3.4399999999999995,1.7284136611526452e-05
3.41,3.757010366423968e-05
3.38,1.581083096619711e-05
3.3499999999999996,4.1453634410175324e-05
3.32,9.680575465213488e-07
3.29,1.116245248480744e-06
3.26,8.817120785850747e-07
3.2299999999999995,8.813564452600454e-07
3.1999999999999997,1.2070699627870543e-06
3.17,2.694042161170857e-06
3.1399999999999997,4.627353031771299e-06
3.11,1.306566878818919e-05
3.08,1.6785303402345144e-05
3.05,4.54197684168241e-06
3.02,7.740892394671665e-06
2.99,1.029181850882421e-05
2.96,1.77160815671338e-05
2.93,2.6560193167514633e-06
2.9000000000000004,2.6869145628725724e-06
2.87,1.1065752567832136e-06
2.84,1.261965037751762e-06
2.81,1.189085140828909e-06
2.7800000000000002,4.722158361357796e-06
2.75,1.1720063970988326e-06
2.72,9.485437512682259e-07
2.6900000000000004,1.3017691213654607e-06
2.66,3.625414100558977e-06
2.63,2.2432357673619327e-06
2.6,2.2286158054504638e-06
2.5700000000000003,9.755811188628967e-07
2.54,0.0003074612658662412
2.5100000000000002,9.853659621246143e-05
2.48,0.0002270378582080828
2.45,1.6975237667865886e-05
2.42,4.56873510444744e-05
2.39,2.4006453578369677e-06
2.3600000000000003,2.2161145113111436e-06
2.33,3.2624242910984337e-06
2.3000000000000003,8.556390695086598e-07
2.27,3.0931777488028247e-06
2.24,6.151715857372664e-06
2.21,2.8340399678842636e-06
2.18,2.7556474124685142e-06
2.1500000000000004,1.9054198855281033e-06
2.12,3.1243430231160704e-06
2.09,2.448153566356274e-06
2.06,1.327522995902022e-06
2.0300000000000002,1.0235739701513667e-06
2.0,1.0169668850439955e-06
1.9700000000000002,1.5836277726418732e-06
1.9400000000000002,2.1490313614133045e-06
1.9100000000000001,1.6327199856663166e-06
1.8800000000000001,1.99353254441651e-06
1.85,1.6449851086937817e-06
1.82,1.6714806425598478e-06
1.79,1.1988744688680836e-06
1.76,1.3391556746183918e-06
