time,value
0.7000000000000001,1.6079440390107804
0.7100000000000001,1.6495862691176
0.7200000000000001,1.685626985868741
0.7300000000000001,1.742484525241518
0.7400000000000001,1.7979617881357743
0.7500000000000001,1.688258093532069
0.76,1.7708715889917968
0.77,1.670033452676738
0.78,1.7399583773403045
0.79,1.7169906764021308
0.8,1.7313613282244047
0.81,1.6488784902127496
0.8200000000000001,1.5578900960057565
0.8300000000000001,1.4778959907823286
0.8400000000000001,1.3826389294728427
0.8500000000000001,1.2420376250863558
0.8600000000000001,1.1817825541571931
0.8700000000000001,1.153891155267767
0.8800000000000001,1.1741825559546601
0.8900000000000001,1.1711867752006333
0.9000000000000001,1.1234711881764463
0.91,1.1069084619163796
0.92,1.0992350211154363
0.93,1.1002146605298697
0.9400000000000001,1.0775723140246576
0.9500000000000001,0.9983865184661781
0.9600000000000001,1.0119476173786397
0.9700000000000001,1.0145540385310803
0.9800000000000001,1.0339518306367539
0.99,1.0285705931389382
1.0,1.022882646906112
1.01,1.067730901809766
1.02,1.0434698780210176
1.03,1.0672807753008173
1.04,1.0492022560561136
1.05,1.176262460154215
1.06,1.152000613697276
1.07,1.104773132175331
1.08,1.1275612364412473
1.09,1.2618596870508672
1.1,1.2235582127783697
1.11,1.3778706831164307
1.12,1.2867810353541171
1.1300000000000001,1.316052591419281
1.1400000000000001,1.311586743105169
1.1500000000000001,1.3663011956378666
1.1600000000000001,1.3190843818355706
1.1700000000000002,1.3683967219234607
1.1800000000000002,1.4242371313506488
1.19,1.55069091422304
1.2000000000000002,1.4076256291367961
1.21,1.5217700977784823
1.2200000000000002,1.4453176076444292
1.23,1.450112142314307
1.2400000000000002,1.465019634428875
1.25,1.6070632531549214
1.2600000000000002,1.5449411827266657
1.27,1.6176901097452134
1.28,1.7970920461722484
1.29,1.866550235747765
1.3,1.9012370651285742
1.31,2.110115467196923
1.32,1.9096432579658076
1.33,1.9245909618152388
1.34,1.7470489358437185
1.35,1.6942831506610667
1.36,1.5989005057343215
1.37,1.6561849608930599
1.3800000000000001,1.6757259884317195
1.3900000000000001,1.6879676523874156
1.4000000000000001,1.551285094181494
1.4100000000000001,1.5849550689801135
1.42,1.5637914870687388
1.4300000000000002,1.6181806885719452
1.44,1.5328585503664738
1.4500000000000002,1.6635125912803368
1.46,1.474115288426706
1.4700000000000002,1.4937828695565267
1.48,1.4918064142119727
1.49,1.4971257661240198
1.5,1.5611988492959539
1.51,1.5969567247879612
1.52,1.4782352980412576
1.53,1.3965737582463416
1.54,1.4684613426385231
1.55,1.6816928493128043
1.56,1.5289906451341815
1.5699999999999998,1.4556798096223602
1.58,1.7536103286551705
1.5899999999999999,1.4741842389572102
1.6,1.438742240519015
1.6099999999999999,1.5794957305474462
1.62,1.5105118905890331
1.63,1.4752076848044398
1.6400000000000001,1.443608972001428
1.65,1.609531778989244
1.6600000000000001,1.5590075356210407
1.67,1.396646698028268
1.6800000000000002,1.4340885639257233
1.69,1.5043052440630988
1.7,1.5319722553703627
1.71,1.4758523036756732
1.72,1.418118709919279
1.73,1.436744504114535
1.74,1.526946534723681
1.75,1.5825320232783324
1.76,1.4769748043046653
1.77,1.5724054867780506
1.78,1.8130210328300298
1.79,1.9884499232879929
1.8,2.2577569167786042
1.81,2.4172194615182354
1.82,2.454653200296413
1.83,2.5400592557058195
1.84,2.5279521602804995
1.85,2.847413533534394
1.8599999999999999,2.565855016238423
1.87,2.541994567788116
1.88,2.418001637843646
1.8900000000000001,2.312961987478329
1.9,2.2592757889523245
1.9100000000000001,2.242724421368969
1.92,2.149699407522231
1.93,1.9514314453500867
1.94,2.0116361658172126
1.95,1.988181574926085
1.96,1.9393002960532604
1.97,1.9666800670864941
1.98,1.9033351639773355
1.99,1.9002205454540182
2.0,2.0157244673275483
2.01,1.8734726890643323
2.02,1.8072346767213006
2.0300000000000002,1.8084223966871042
2.04,1.838727784560579
2.05,1.7321931660357348
2.06,1.755460930741547
2.07,1.6695994507557486
2.08,1.7123698656336368
2.09,1.6854033612940538
2.1,1.6725345939748306
2.11,1.5391338941118051
2.12,1.5628785632016962
2.13,1.5034238881139097
2.14,1.5476289636653315
2.15,1.4964905825528378
2.16,1.570972777020389
2.17,1.4911614486208398
2.18,1.3400522608401038
2.19,1.3527198667730804
2.2,1.3451598471864008
2.21,1.2826055302287094
2.22,1.3025199617888163
2.23,1.3256677389934612
2.24,1.4057402414533562
2.25,1.432094816525478
2.2600000000000002,
2.27,
