time,strain_H1,strain_L1
1246849692.5998535,7.185580938218468e-22,-1.8255627409364883e-19
1246849692.6000977,3.0558466424754193e-21,-2.3970001855736834e-19
1246849692.6003418,-1.0367217761727142e-21,-2.405446119779751e-19
1246849692.600586,-1.782314861708233e-21,-1.9032231453859935e-19
1246849692.60083,1.7174537513919892e-21,-1.9913838574445432e-19
1246849692.6010742,6.027073837119306e-21,-2.6207674248536453e-19
1246849692.6013184,4.26207738452622e-21,-2.6774292780302946e-19
1246849692.6015625,1.055816010537031e-21,-2.176325856125779e-19
1246849692.6018066,5.5749598144373385e-21,-2.223812782283043e-19
1246849692.6020508,8.860171562173767e-21,-2.7973503484287555e-19
1246849692.602295,5.557611426919053e-21,-2.7948720717155653e-19
1246849692.602539,3.4951946145367675e-21,-2.284954926364875e-19
1246849692.6027832,7.424107757320842e-21,-2.3778861657617787e-19
1246849692.6030273,1.1524425708247766e-20,-3.0093825263423486e-19
1246849692.6032715,1.0468726688417886e-20,-3.0596579896313577e-19
1246849692.6035156,7.652464661333418e-21,-2.5529429607827337e-19
1246849692.6037598,9.969206916677259e-21,-2.60803818543433e-19
1246849692.604004,1.481451323985974e-20,-3.1772718256656325e-19
1246849692.604248,1.1750693944291035e-20,-3.1604907096984577e-19
1246849692.6044922,8.567155477876287e-21,-2.653381912550173e-19
1246849692.6047363,1.2761884697073108e-20,-2.744983282338721e-19
1246849692.6049805,1.617700253745256e-20,-3.3705910334422865e-19
1246849692.6052246,1.6939141793426325e-20,-3.4111136025072846e-19
1246849692.6054688,1.3387372408940775e-20,-2.906158481784611e-19
1246849692.605713,1.4406589975681768e-20,-2.968719446369522e-19
1246849692.605957,2.0956961370214467e-20,-3.5248744431393597e-19
1246849692.6062012,1.7703653140656525e-20,-3.5098444426841967e-19
1246849692.6064453,1.5041610688626684e-20,-2.9975397614903706e-19
1246849692.6066895,1.7957583781856075e-20,-3.0845360223542235e-19
1246849692.6069336,2.0933774146790284e-20,-3.7090834617103897e-19
1246849692.6071777,2.30232925050599e-20,-3.741760734525979e-19
1246849692.6074219,1.9864459879059714e-20,-3.24085493417745e-19
1246849692.607666,1.954193851420032e-20,-3.2925090439256695e-19
1246849692.6079102,2.4108105178154926e-20,-3.84750537396137e-19
1246849692.6081543,2.4912883528764693e-20,-3.8286732788381304e-19
1246849692.6083984,2.1189059549623087e-20,-3.3080171562684106e-19
1246849692.6086426,2.1547907088076686e-20,-3.3999363569854585e-19
1246849692.6088867,2.663287308244756e-20,-4.0146446489195947e-19
1246849692.6091309,2.868807582620351e-20,-4.0423853878948345e-19
1246849692.609375,2.6139045773997518e-20,-3.534683188799853e-19
1246849692.6096191,2.4260404108700867e-20,-3.588537776047945e-19
1246849692.6098633,2.897822341535529e-20,-4.1416534199273486e-19
1246849692.6101074,3.134981573911736e-20,-4.110249792345932e-19
1246849692.6103516,2.6325560074712987e-20,-3.595718587387086e-19
1246849692.6105957,2.5376368127065432e-20,-3.681568819761114e-19
1246849692.6108398,3.1270666833673684e-20,-4.2866796437535386e-19
1246849692.611084,3.433087309141881e-20,-4.308167583774797e-19
1246849692.6113281,3.130120005809071e-20,-3.801465556814889e-19
1246849692.6115723,2.979121217441999e-20,-3.8551260399531666e-19
1246849692.6118164,3.2731653477860515e-20,-4.408020081974129e-19
1246849692.6120605,3.6129063650336655e-20,-4.363895959099173e-19
1246849692.6123047,3.3187647016176587e-20,-3.8331139359627134e-19
1246849692.6125488,2.925113453393086e-20,-3.929847577237638e-19
1246849692.612793,3.5344862168611073e-20,-4.527457743827706e-19
1246849692.613037,4.0090926795488814e-20,-4.541258228143079e-19
1246849692.6132812,3.6933679217365627e-20,-4.0308587473071056e-19
1246849692.6135254,3.4758775334395227e-20,-4.078761458069439e-19
1246849692.6137695,3.685032102115981e-20,-4.630052151203396e-19
1246849692.6140137,4.0294109436678395e-20,-4.575389539935896e-19
1246849692.6142578,3.861646461993555e-20,-4.04388259703306e-19
1246849692.614502,3.482020087991212e-20,-4.1289656170577184e-19
1246849692.614746,3.8288283940142195e-20,-4.725101085594329e-19
1246849692.6149902,4.3620060303707957e-20,-4.740601044094141e-19
1246849692.6152344,4.1934451418041986e-20,-4.2202271420172527e-19
1246849692.6154785,3.8904188325224737e-20,-4.273597637469571e-19
1246849692.6157227,4.1465136025347655e-20,-4.8143423280849405e-19
1246849692.6159668,4.4830428753338055e-20,-4.751394738241759e-19
1246849692.616211,4.296363043706889e-20,-4.215051215802669e-19
1246849692.616455,4.007819459152238e-20,-4.2922262613160515e-19
1246849692.6166992,4.1836287172537706e-20,-4.891270370888576e-19
1246849692.6169434,4.655684899615836e-20,-4.885996716500209e-19
1246849692.6171875,4.741291780998889e-20,-4.357445375598511e-19
1246849692.6174316,4.3510469563419303e-20,-4.421839192538524e-19
1246849692.6176758,4.386378963646532e-20,-4.955404826861011e-19
1246849692.61792,4.762228351333031e-20,-4.878647648332744e-19
1246849692.618164,4.7111333459098594e-20,-4.3350661455870816e-19
1246849692.6184082,4.482041268767111e-20,-4.419680418240675e-19
1246849692.6186523,4.4995953921790443e-20,-5.007691694011217e-19
1246849692.6188965,5.048282763016178e-20,-4.995258994054015e-19
1246849692.6191406,5.2043747276145466e-20,-4.468191754338759e-19
1246849692.6193848,4.6826328665230713e-20,-4.51951134998914e-19
1246849692.619629,4.717162951459936e-20,-5.052657824954002e-19
1246849692.619873,5.090719682501623e-20,-4.967057049694182e-19
1246849692.6201172,5.128340259350086e-20,-4.410954770326275e-19
1246849692.6203613,4.783011866280831e-20,-4.499618533547774e-19
1246849692.6206055,4.7099495776529734e-20,-5.080448598628242e-19
1246849692.6208496,5.28744582778182e-20,-5.050048286017137e-19
1246849692.6210938,5.590169115246614e-20,-4.521844223119202e-19
1246849692.621338,5.127908002567946e-20,-4.576791960923093e-19
1246849692.621582,4.829170430855315e-20,-5.104579253176298e-19
1246849692.6218262,5.2943893676405064e-20,-5.009570850211575e-19
1246849692.6220703,5.516813785139962e-20,-4.446376157140889e-19
1246849692.6223145,5.2213459871376436e-20,-4.535267699196255e-19
1246849692.6225586,5.028373576126734e-20,-5.108176088352527e-19
1246849692.6228027,5.3229590258046295e-20,-5.070066276471827e-19
1246849692.6230469,5.818972548136067e-20,-4.543730744303604e-19
1246849692.623291,5.486685426554033e-20,-4.591379022031766e-19
1246849692.6235352,5.0376546675563794e-20,-5.107106579244082e-19
1246849692.6237793,5.3865465235023027e-20,-5.001914507758595e-19
1246849692.6240234,5.702895606664907e-20,-4.43581952858379e-19
1246849692.6242676,5.403641952357647e-20,-4.52298907394859e-19
1246849692.6245117,5.1786741882516433e-20,-5.081329576418084e-19
1246849692.6247559,5.527867085855191e-20,-5.032344818405626e-19
1246849692.625,5.912633055889508e-20,-4.506141102242581e-19
1246849692.6252441,5.789403458869353e-20,-4.55680572205077e-19
1246849692.6254883,5.31596417935643e-20,-5.065569308530369e-19
1246849692.6257324,5.3924119435627077e-20,-4.951764392696171e-19
1246849692.6259766,5.818424398265094e-20,-4.381868989007285e-19
1246849692.6262207,5.64101863996357e-20,-4.456302202392438e-19
1246849692.6264648,5.3054575124356274e-20,-5.014776637186567e-19
1246849692.626709,5.55480820233388e-20,-4.965107498354227e-19
1246849692.6269531,5.98934361231318e-20,-4.421953542323685e-19
1246849692.6271973,5.915812715226278e-20,-4.470391214374252e-19
1246849692.6274414,5.454268642467898e-20,-4.983197047740606e-19
1246849692.6276855,5.38272226307273e-20,-4.85368208771557e-19
1246849692.6279297,5.845944659044558e-20,-4.2718985569205644e-19
1246849692.6281738,5.826603304038503e-20,-4.355717474520553e-19
