time,strain_H1,strain_L1
1164686039.8999023,5.44146211101657e-19,-2.1294001334358013e-18
1164686039.9001465,5.261262844140898e-19,-2.830621592997034e-18
1164686039.9003906,5.008847122436651e-19,-3.3476267486484666e-18
1164686039.9006348,4.967889319598144e-19,-3.4120805022164573e-18
1164686039.900879,4.748137561476046e-19,-2.969426766163515e-18
1164686039.901123,4.970749315030257e-19,-2.1877444735423677e-18
1164686039.9013672,5.143500055124982e-19,-1.5733119312925818e-18
1164686039.9016113,4.680370051905291e-19,-1.5854607318689878e-18
1164686039.9018555,4.576928527967926e-19,-2.143599615126064e-18
1164686039.9020996,4.53272403304569e-19,-2.8524151637702483e-18
1164686039.9023438,4.194693085915081e-19,-3.3400620128776575e-18
1164686039.902588,4.1376711184174847e-19,-3.364024877957755e-18
1164686039.902832,4.040664754664374e-19,-2.879472914713651e-18
1164686039.9030762,4.0407668336004473e-19,-2.0997935255069444e-18
1164686039.9033203,4.282361107185415e-19,-1.5097506477476735e-18
1164686039.9035645,4.008408345129483e-19,-1.5487612587845904e-18
1164686039.9038086,3.6447561002846077e-19,-2.1445265959326434e-18
1164686039.9040527,3.702013685829774e-19,-2.8585622084856312e-18
1164686039.9042969,3.4460936495689325e-19,-3.317539336584185e-18
1164686039.904541,3.2015637559821465e-19,-3.29798241209683e-18
1164686039.9047852,3.2730809588125934e-19,-2.774583041744504e-18
1164686039.9050293,3.177217806957171e-19,-1.9965002783747594e-18
1164686039.9052734,3.3143341874712054e-19,-1.438010085685421e-18
1164686039.9055176,3.290910495355774e-19,-1.5068760821724702e-18
1164686039.9057617,2.8020145062852144e-19,-2.1288072041821845e-18
1164686039.9060059,2.7649311313958353e-19,-2.8507478916496895e-18
1164686039.90625,2.672382650550946e-19,-3.2779368184134727e-18
1164686039.9064941,2.3036786509401807e-19,-3.2139461457226467e-18
1164686039.9067383,2.3833478505911217e-19,-2.6589603209009454e-18
1164686039.9069824,2.3628296216736735e-19,-1.8788275092309068e-18
1164686039.9072266,2.312857520499933e-19,-1.3554599376172304e-18
1164686039.9074707,2.447914890630855e-19,-1.4594165116646308e-18
1164686039.9077148,2.0446195019366675e-19,-2.1005778165887812e-18
1164686039.907959,1.778905905808827e-19,-2.8253170584026762e-18
1164686039.9082031,1.8385626518469579e-19,-3.223930589877067e-18
1164686039.9084473,1.4663316890935228e-19,-3.114995455746657e-18
1164686039.9086914,1.4231051578765937e-19,-2.530231210561405e-18
1164686039.9089355,1.5660072199739569e-19,-1.75250604729621e-18
1164686039.9091797,1.37076365515972e-19,-1.2638578095297214e-18
1164686039.9094238,1.4735725567565922e-19,-1.4046353962483884e-18
1164686039.909668,1.3237023108654762e-19,-2.0626748716604887e-18
1164686039.909912,8.442322347571223e-20,-2.7847728414134473e-18
1164686039.9101562,8.51899298886443e-20,-3.1527259969864984e-18
1164686039.9104004,6.953169056317443e-20,-3.0030476637700415e-18
1164686039.9106445,4.6378756729595044e-20,-2.391958371693064e-18
1164686039.9108887,6.603414357809931e-20,-1.6166253368282656e-18
1164686039.9111328,5.348471540826211e-20,-1.163605527444936e-18
1164686039.911377,4.4673861129187284e-20,-1.3433186881252515e-18
1164686039.911621,5.249054221343741e-20,-2.0184825491765613e-18
1164686039.9118652,2.338533206024559e-21,-2.72968937814534e-18
1164686039.9121094,-1.8207722334080845e-20,-3.0673452441572656e-18
1164686039.9123535,-1.1210380627836271e-20,-2.880471915726521e-18
1164686039.9125977,-4.2209798278043185e-20,-2.2403250414624765e-18
1164686039.9128418,-3.247444381175495e-20,-1.4735361507480401e-18
1164686039.913086,-2.75542199950362e-20,-1.0580075672801985e-18
1164686039.91333,-4.9810100083068935e-20,-1.2737295900873594e-18
1164686039.9135742,-3.78506659024146e-20,-1.9687434336806583e-18
1164686039.9138184,-7.194360856108709e-20,-2.662856632755397e-18
1164686039.9140625,-1.1599840751208398e-19,-2.9646030249607405e-18
1164686039.9143066,-1.025117952125727e-19,-2.7471382603281614e-18
1164686039.9145508,-1.2016599217921633e-19,-2.0817861856168154e-18
1164686039.914795,-1.3075013982425643e-19,-1.3242997593901173e-18
1164686039.915039,-1.1388638993701988e-19,-9.474653920296096e-19
1164686039.9152832,-1.362877149447817e-19,-1.1974076247176471e-18
1164686039.9155273,-1.3665425037436899e-19,-1.911540369369673e-18
1164686039.9157715,-1.4456484915247424e-19,-2.5880912490832336e-18
1164686039.9160156,-2.0361932367681887e-19,-2.8484205803030216e-18
1164686039.9162598,-2.0282748446135242e-19,-2.6019783617140867e-18
1164686039.916504,-1.9368811919442092e-19,-1.9188324478989794e-18
1164686039.916748,-2.209244668725197e-19,-1.1692842261255293e-18
1164686039.9169922,-2.0536896629271514e-19,-8.328506361193804e-19
1164686039.9172363,-2.136281837172389e-19,-1.118986813042086e-18
1164686039.9174805,-2.323044216390591e-19,-1.8475186674647484e-18
1164686039.9177246,-2.2451082334776864e-19,-2.5073474256906852e-18
1164686039.9179688,-2.7658860122601753e-19,-2.7209450840442046e-18
1164686039.918213,-3.048872816587891e-19,-2.4431725711770395e-18
1164686039.918457,-2.7510985096825605e-19,-1.753095930395447e-18
1164686039.9187012,-2.9461336221723393e-19,-1.010595034712024e-18
1164686039.9189453,-3.0192243832307816e-19,-7.143961839674075e-19
1164686039.9191895,-2.914127244279045e-19,-1.0397194059336585e-18
1164686039.9194336,-3.1549266993843903e-19,-1.7762964434569826e-18
1164686039.9196777,-3.1269964171355625e-19,-2.4177908458876834e-18
1164686039.9199219,-3.4081263452271217e-19,-2.5863102903160715e-18
1164686039.920166,-3.936231096353613e-19,-2.2744426443460266e-18
1164686039.9204102,-3.6570690728270863e-19,-1.5829072462657447e-18
1164686039.9206543,-3.6054296548307767e-19,-8.550153804952955e-19
