time,strain_H1,strain_L1
1239168610.5,4.602349644162086e-19,-7.671016411345059e-20
1239168610.5002441,4.573345582439734e-19,-7.534410121178799e-20
1239168610.5004883,4.639431352154475e-19,-7.386218417258845e-20
1239168610.5007324,4.697502120420496e-19,-7.079690941898138e-20
1239168610.5009766,4.602167701905085e-19,-6.57605873540855e-20
1239168610.5012207,4.585752791795269e-19,-6.031032836217441e-20
1239168610.5014648,4.733282756391264e-19,-5.689421309797937e-20
1239168610.501709,4.7378255649403405e-19,-5.491843444548972e-20
1239168610.5019531,4.632082701650613e-19,-5.2963304860717e-20
1239168610.5021973,4.602647302025545e-19,-5.247591304477869e-20
1239168610.5024414,4.649154646037591e-19,-5.1051512383206014e-20
1239168610.5026855,4.710566662181244e-19,-4.724150208258723e-20
1239168610.5029297,4.638835765772451e-19,-4.265622384486416e-20
1239168610.5031738,4.572959793264293e-19,-3.7566500481764633e-20
1239168610.503418,4.7114071700302e-19,-3.3461477905038046e-20
1239168610.503662,4.7496766147958285e-19,-3.0823695129351705e-20
1239168610.5039062,4.62510684936552e-19,-2.984290643011474e-20
1239168610.5041504,4.595056382583759e-19,-2.9347750495437825e-20
1239168610.5043945,4.6148790401415595e-19,-2.6366285510379573e-20
1239168610.5046387,4.660077990534259e-19,-2.3090996304013457e-20
1239168610.5048828,4.640612923448093e-19,-1.8858414225216296e-20
1239168610.505127,4.54091882928708e-19,-1.3528713368379744e-20
1239168610.505371,4.622308697201161e-19,-1.0612171531126979e-20
1239168610.5056152,4.704172388211761e-19,-7.596475993167757e-21
1239168610.5058594,4.602503946816393e-19,-6.354991098750797e-21
1239168610.5061035,4.522703109711809e-19,-5.828944033481234e-21
1239168610.5063477,4.531379289239651e-19,-3.2561253145094736e-21
1239168610.5065918,4.583674973478495e-19,-6.035547406119915e-22
1239168610.506836,4.559497185529589e-19,4.888654040093853e-21
1239168610.50708,4.466922935457296e-19,9.970340101743524e-21
1239168610.5073242,4.50270988797194e-19,1.2845135180574357e-20
1239168610.5075684,4.601035319511676e-19,1.557134985814709e-20
1239168610.5078125,4.5306728135081565e-19,1.6332843465267362e-20
1239168610.5080566,4.400032958829272e-19,1.759178657228767e-20
1239168610.5083008,4.406538834833416e-19,1.9672212280502726e-20
1239168610.508545,4.45797396816709e-19,2.2701530204663332e-20
1239168610.508789,4.434452022258977e-19,2.759267391563622e-20
1239168610.5090332,4.352391218339824e-19,3.1945840451172444e-20
1239168610.5092773,4.350089606897367e-19,3.547414424561494e-20
1239168610.5095215,4.437564443195171e-19,3.800668877406887e-20
1239168610.5097656,4.395629469867424e-19,3.914381492170165e-20
1239168610.5100098,4.2567325310446867e-19,3.974851714266543e-20
1239168610.510254,4.22893520140958e-19,4.1507891980992805e-20
1239168610.510498,4.2817904829742157e-19,4.5425905953136376e-20
1239168610.5107422,4.2697794795227835e-19,4.986853804107916e-20
1239168610.5109863,4.1759905463913423e-19,5.400874289981504e-20
1239168610.5112305,4.1495007349602795e-19,5.82352693654799e-20
1239168610.5114746,4.2204044309397797e-19,6.007801647784148e-20
1239168610.5117188,4.216849252206113e-19,6.0479110420124e-20
1239168610.511963,4.083109357651707e-19,6.171069941604053e-20
1239168610.512207,4.0001216148570987e-19,6.309680191378799e-20
1239168610.5124512,4.0548691371126496e-19,6.705997463121699e-20
1239168610.5126953,4.06080313814064e-19,7.127614778045236e-20
1239168610.5129395,3.9674960149157565e-19,7.445455030650301e-20
1239168610.5131836,3.9184834187300625e-19,7.88407675556697e-20
1239168610.5134277,3.951322853328465e-19,8.116058821195828e-20
1239168610.5136719,3.977506898022351e-19,8.166932540047719e-20
1239168610.513916,3.8578148013054056e-19,8.237851699305263e-20
1239168610.5141602,3.729485658915699e-19,8.44698561150727e-20
1239168610.5144043,3.7769532012455423e-19,8.76386851197146e-20
1239168610.5146484,3.796450195408941e-19,9.165051059497626e-20
1239168610.5148926,3.7019370980881524e-19,9.60544683173793e-20
1239168610.5151367,3.6417303496769602e-19,9.839059587062753e-20
1239168610.5153809,3.6584312252958024e-19,1.0012111163512158e-19
1239168610.515625,3.6928535426884653e-19,1.0099978184895849e-19
1239168610.5158691,3.5978448149887154e-19,1.0172703193798728e-19
1239168610.5161133,3.4369395705294856e-19,1.037867134371936e-19
1239168610.5163574,3.4488970911982797e-19,1.0614881578935698e-19
1239168610.5166016,3.492558863332412e-19,1.1073551142640694e-19
1239168610.5168457,3.404700689438441e-19,1.1447573131431786e-19
1239168610.5170898,3.3186599936901545e-19,1.1698521254823513e-19
1239168610.517334,3.3200013139142167e-19,1.1922669448332147e-19
1239168610.5175781,3.358808636486166e-19,1.193428412805297e-19
1239168610.5178223,3.2820664861157815e-19,1.2008492055852958e-19
1239168610.5180664,3.116008846397928e-19,1.2178981419217286e-19
1239168610.5183105,3.0898201607330473e-19,1.249351748295703e-19
1239168610.5185547,3.1391506049935763e-19,1.2843617638051908e-19
1239168610.5187988,3.0685922878300658e-19,1.3138534309041135e-19
1239168610.519043,2.964484275870057e-19,1.3443034831215313e-19
1239168610.519287,2.952588757123251e-19,1.3529531208709994e-19
1239168610.5195312,2.978984927841268e-19,1.357992724079989e-19
1239168610.5197754,2.920569389108815e-19,1.3674827731024554e-19
1239168610.5200195,2.7712146162703825e-19,1.3822848159266192e-19
1239168610.5202637,2.6868443384430277e-19,1.4119421219153088e-19
1239168610.5205078,2.7391723981835463e-19,1.444144134638115e-19
1239168610.520752,2.7077876091127455e-19,1.4790225761772124e-19
1239168610.520996,2.5663315352326664e-19,1.4985232165959888e-19
1239168610.5212402,2.552624978402471e-19,1.5053146073040191e-19
1239168610.5214844,2.5696013013890396e-19,1.5152183691898957e-19
1239168610.5217285,2.5033217525642858e-19,1.5220944609187755e-19
1239168610.5219727,2.386952210365369e-19,1.531173759950217e-19
1239168610.5222168,2.264642420981494e-19,1.5577023986251717e-19
1239168610.522461,2.292049075975339e-19,1.583456456763807e-19
1239168610.522705,2.3021979990993195e-19,1.6151739073775985e-19
1239168610.5229492,2.158420550477976e-19,1.6376504466828275e-19
1239168610.5231934,2.1044428531954183e-19,1.6378912109611526e-19
1239168610.5234375,2.1293307132373859e-19,1.652746658700414e-19
