time,strain_H1,strain_L1
1135136348.5998535,-2.9193563525869e-19,-4.373372289855833e-19
1135136348.6000977,-2.8665812195671904e-19,-4.244992018312756e-19
1135136348.6003418,-2.9899178642066635e-19,-4.544764999999265e-19
1135136348.600586,-2.9296840222192048e-19,-5.078338865350476e-19
1135136348.60083,-2.9088000632503697e-19,-5.7124187797321585e-19
1135136348.6010742,-3.015021436024367e-19,-6.138489865728036e-19
1135136348.6013184,-2.973900573932643e-19,-6.060176274814573e-19
1135136348.6015625,-3.00338100150457e-19,-5.435725222382416e-19
1135136348.6018066,-3.0534079690483484e-19,-4.807000572822647e-19
1135136348.6020508,-2.978631921101884e-19,-4.684784382660493e-19
1135136348.602295,-3.0703889640390494e-19,-5.008451217395579e-19
1135136348.602539,-3.0959413353461184e-19,-5.539108383432486e-19
1135136348.6027832,-2.9841619563274516e-19,-6.164964491240698e-19
1135136348.6030273,-3.098295789118868e-19,-6.623646188524566e-19
1135136348.6032715,-3.1019482413096767e-19,-6.523903851793096e-19
1135136348.6035156,-3.0655975360111106e-19,-5.926546669859416e-19
1135136348.6037598,-3.1665392816407845e-19,-5.318475004008969e-19
1135136348.604004,-3.0641617814919547e-19,-5.196170700696165e-19
1135136348.604248,-3.101502768405948e-19,-5.560680079870219e-19
1135136348.6044922,-3.1991946276554215e-19,-6.104481389583884e-19
1135136348.6047363,-3.072679227411832e-19,-6.703686699677109e-19
1135136348.6049805,-3.138949245599453e-19,-7.13111371301225e-19
1135136348.6052246,-3.1934480229554593e-19,-7.062635673889625e-19
1135136348.6054688,-3.1376000828624497e-19,-6.475263041157582e-19
1135136348.605713,-3.227374894748591e-19,-5.860674311735915e-19
1135136348.605957,-3.1504040875152976e-19,-5.775716120339542e-19
1135136348.6062012,-3.136055853938339e-19,-6.168164621340504e-19
1135136348.6064453,-3.271553989842057e-19,-6.717211596310729e-19
1135136348.6066895,-3.156366557924303e-19,-7.294105994104782e-19
1135136348.6069336,-3.1521212573607566e-19,-7.727080479642536e-19
1135136348.6071777,-3.2422900860856724e-19,-7.66414173561938e-19
1135136348.6074219,-3.192394596456899e-19,-7.077038793884382e-19
1135136348.607666,-3.2337888642771685e-19,-6.480968532709666e-19
1135136348.6079102,-3.20776858710173e-19,-6.39782529509651e-19
1135136348.6081543,-3.157034503380118e-19,-6.812539625699902e-19
1135136348.6083984,-3.2839497351704357e-19,-7.365959258822917e-19
