time,strain_H1,strain_L1
1252113995.1999512,4.3236983306405326e-20,-1.3289244532799955e-19
1252113995.2001953,3.46441598931229e-20,-1.38749701363809e-19
1252113995.2004395,3.7489044376397894e-20,-1.4476347954666667e-19
1252113995.2006836,4.278536459238308e-20,-1.507924414776913e-19
1252113995.2009277,3.6780393527218485e-20,-1.5555221310303472e-19
1252113995.2011719,2.921349410141994e-20,-1.610748250337019e-19
1252113995.201416,3.247845884608745e-20,-1.6728937814656345e-19
1252113995.2016602,3.728137589769267e-20,-1.7278763763661395e-19
1252113995.2019043,3.1339824268605816e-20,-1.7787992344573476e-19
1252113995.2021484,2.2253001932052517e-20,-1.8296244706673065e-19
1252113995.2023926,2.272424809274158e-20,-1.8885380869912155e-19
1252113995.2026367,2.7967126529028885e-20,-1.9448597627343605e-19
1252113995.2028809,2.5198351958187466e-20,-1.9958023891015855e-19
1252113995.203125,1.7516049245356214e-20,-2.0458573430981848e-19
1252113995.2033691,1.7864467921991008e-20,-2.1004737660385778e-19
1252113995.2036133,2.410967619384298e-20,-2.158229341864295e-19
1252113995.2038574,2.047079989191191e-20,-2.205712765779203e-19
1252113995.2041016,9.036277663461817e-21,-2.2593257862124204e-19
1252113995.2043457,9.221907878307173e-21,-2.3123512030987406e-19
1252113995.2045898,1.478565279908289e-20,-2.3597696038099373e-19
1252113995.204834,1.2489258989220979e-20,-2.4112616749781313e-19
1252113995.2050781,5.848220484580872e-21,-2.4599426042326936e-19
1252113995.2053223,2.8505662377961023e-21,-2.5140432144289467e-19
1252113995.2055664,8.45414339817176e-21,-2.5603213964158127e-19
1252113995.2058105,7.590157210696414e-21,-2.603734187877497e-19
1252113995.2060547,-2.4722209700262667e-21,-2.6566097729158717e-19
1252113995.2062988,-5.386239412592376e-21,-2.705249718063866e-19
1252113995.206543,-6.134420396814089e-22,-2.7539670762634003e-19
1252113995.206787,8.248259928413518e-22,-2.798563236791048e-19
1252113995.2070312,-7.021912835789914e-21,-2.8435983052366317e-19
1252113995.2072754,-1.1358107899647626e-20,-2.895024449814479e-19
1252113995.2075195,-6.5540084486535365e-21,-2.9398829497737323e-19
1252113995.2077637,-4.562408473126249e-21,-2.977818799977263e-19
1252113995.2080078,-1.3351767860958555e-20,-3.025910427581042e-19
1252113995.208252,-2.1357669026417848e-20,-3.081900834005099e-19
1252113995.208496,-1.5142509096346912e-20,-3.1179384236429535e-19
1252113995.2087402,-1.273764149883009e-20,-3.1563988191096374e-19
1252113995.2089844,-1.9972594467876282e-20,-3.2079795910669022e-19
1252113995.2092285,-2.4357436149704943e-20,-3.243764235755973e-19
1252113995.2094727,-2.2836373017459784e-20,-3.282033768386759e-19
1252113995.2097168,-1.7794631548598447e-20,-3.3248334017986125e-19
1252113995.209961,-2.4873421697567497e-20,-3.3619612410330267e-19
1252113995.210205,-3.516114953851653e-20,-3.410816308303796e-19
1252113995.2104492,-2.982809958248116e-20,-3.4452102838350674e-19
1252113995.2106934,-2.6339168743070465e-20,-3.478035568696704e-19
1252113995.2109375,-3.1733422364071835e-20,-3.525217987792433e-19
1252113995.2111816,-3.7185385763514035e-20,-3.5610164846627496e-19
1252113995.2114258,-3.7594912740520103e-20,-3.600160543189795e-19
1252113995.21167,-3.2021151841018005e-20,-3.631739348426931e-19
1252113995.211914,-3.67705492490884e-20,-3.665248136323352e-19
1252113995.2121582,-4.708623510502482e-20,-3.712696616123782e-19
1252113995.2124023,-4.564686192443213e-20,-3.741164279965274e-19
1252113995.2126465,-4.0041584146126923e-20,-3.7657477695055054e-19
1252113995.2128906,-4.318392296772835e-20,-3.8099881668424765e-19
1252113995.2131348,-5.038863694750748e-20,-3.8445079693001094e-19
1252113995.213379,-5.0692471817094706e-20,-3.8666302453173637e-19
1252113995.213623,-4.7285209743972574e-20,-3.902392332598693e-19
1252113995.2138672,-4.780762302394646e-20,-3.9302091242651424e-19
1252113995.2141113,-5.774797768003237e-20,-3.9594441318459733e-19
1252113995.2143555,-6.077898855712736e-20,-3.993602193365001e-19
