time,strain_H1,strain_L1
1248617392.5998535,-2.7817418924298304e-21,-2.0125229762420408e-19
1248617392.6000977,-1.7610207546062805e-20,-1.9205110147195026e-19
1248617392.6003418,-6.772703387869269e-20,-1.9394567305093118e-19
1248617392.600586,-5.497246532032201e-20,-2.1101948411825131e-19
1248617392.60083,-3.3226961749024076e-21,-2.2402882410617925e-19
1248617392.6010742,-1.1267856951399573e-20,-2.308073977883451e-19
1248617392.6013184,-6.671449660981768e-20,-2.4623336331810795e-19
1248617392.6015625,-6.685068677949046e-20,-2.593169813998475e-19
1248617392.6018066,-1.5167420657615246e-20,-2.557753811434003e-19
1248617392.6020508,-1.4031512741245675e-20,-2.458864926289291e-19
1248617392.602295,-6.493902752575955e-20,-2.481930430778417e-19
1248617392.602539,-6.92952779724417e-20,-2.630590137884671e-19
1248617392.6027832,-1.7814437590799466e-20,-2.756327990396895e-19
1248617392.6030273,-7.602487112093193e-21,-2.83654857788276e-19
1248617392.6032715,-6.163237406624735e-20,-2.9753196242531843e-19
1248617392.6035156,-8.036976361263478e-20,-3.1134370925366307e-19
1248617392.6037598,-2.9010332935667995e-20,-3.0787325370190566e-19
1248617392.604004,-1.2296549511146048e-20,-2.9637710335496925e-19
1248617392.604248,-6.129620746452631e-20,-2.9903432108410474e-19
1248617392.6044922,-7.709702458693682e-20,-3.1379211670453893e-19
1248617392.6047363,-3.355824288423809e-20,-3.250225368874035e-19
1248617392.6049805,-8.801583912728082e-21,-3.320790659453432e-19
1248617392.6052246,-5.3240833766427046e-20,-3.4622079548296823e-19
1248617392.6054688,-9.040038007699475e-20,-3.595255910958486e-19
1248617392.605713,-4.539534190999038e-20,-3.559931513092312e-19
1248617392.605957,-1.2517320681562621e-20,-3.437634367014858e-19
1248617392.6062012,-5.664243412202335e-20,-3.452261194015766e-19
1248617392.6064453,-8.415005669622904e-20,-3.5963564303139824e-19
1248617392.6066895,-4.8016349085460203e-20,-3.6965444261638427e-19
1248617392.6069336,-1.4426036975242062e-20,-3.770614562047682e-19
1248617392.6071777,-4.386334190124488e-20,-3.911381515849561e-19
1248617392.6074219,-9.431056887465893e-20,-4.0335947229761925e-19
