time,strain_H1,strain_L1
1170585581.7998047,-6.045655603744561e-19,-1.933468786629257e-18
1170585581.8000488,-6.195837861438781e-19,-1.9400345429998675e-18
1170585581.800293,-6.182344679211883e-19,-1.989502864218273e-18
1170585581.800537,-6.1441850894821e-19,-2.0178589695750892e-18
1170585581.8007812,-6.2439439262354395e-19,-1.9946112172611655e-18
1170585581.8010254,-6.343343629178258e-19,-1.975948810305078e-18
1170585581.8012695,-6.351703078441676e-19,-2.0012053687267644e-18
1170585581.8015137,-6.293871487789216e-19,-2.043295505861905e-18
1170585581.8017578,-6.341694525602628e-19,-2.0551394591509168e-18
1170585581.802002,-6.4607185941218375e-19,-2.0652925495413476e-18
1170585581.802246,-6.458175917108122e-19,-2.1147268779020885e-18
1170585581.8024902,-6.420957334355953e-19,-2.1430516975155327e-18
1170585581.8027344,-6.476412073038795e-19,-2.113117335636524e-18
1170585581.8029785,-6.583870148624774e-19,-2.0938116986528507e-18
1170585581.8032227,-6.602327130094234e-19,-2.1278023536302917e-18
1170585581.8034668,-6.531837340381408e-19,-2.16661282589552e-18
1170585581.803711,-6.542349371524067e-19,-2.1697047585099434e-18
1170585581.803955,-6.652551579345663e-19,-2.1833682581965105e-18
1170585581.8041992,-6.692820291293416e-19,-2.237405829267686e-18
1170585581.8044434,-6.611398419154511e-19,-2.2623695147212313e-18
1170585581.8046875,-6.639568532104894e-19,-2.2270398150110722e-18
1170585581.8049316,-6.761644976575725e-19,-2.206182851642551e-18
1170585581.8051758,-6.758014437889278e-19,-2.2468337222839668e-18
1170585581.80542,-6.706888605330659e-19,-2.2858357129721727e-18
1170585581.805664,-6.69929175047419e-19,-2.2783627993000297e-18
1170585581.8059082,-6.771892070960766e-19,-2.295569408081083e-18
1170585581.8061523,-6.827078099995471e-19,-2.3544907084207105e-18
1170585581.8063965,-6.7447750680743595e-19,-2.3740129234211285e-18
1170585581.8066406,-6.739599853820083e-19,-2.338176025116723e-18
1170585581.8068848,-6.854464272500352e-19,-2.3135699202831016e-18
1170585581.807129,-6.870273272534307e-19,-2.3539875651799866e-18
1170585581.807373,-6.790024072006354e-19,-2.4016792679454653e-18
1170585581.8076172,-6.774089103232242e-19,-2.3866565500965277e-18
1170585581.8078613,-6.825937732162884e-19,-2.394563339359682e-18
1170585581.8081055,-6.873926160059317e-19,-2.464069702583349e-18
1170585581.8083496,-6.836072629784832e-19,-2.482788107353742e-18
1170585581.8085938,-6.773193517533735e-19,-2.4384238074612674e-18
1170585581.808838,-6.867050704982067e-19,-2.41598356331777e-18
1170585581.809082,-6.903476197314865e-19,-2.4543666602133358e-18
1170585581.8093262,-6.802310032012076e-19,-2.506438649103087e-18
1170585581.8095703,-6.783263539256447e-19,-2.491358228580424e-18
1170585581.8098145,-6.829811939609224e-19,-2.4851758561137556e-18
1170585581.8100586,-6.86657447544167e-19,-2.561187503659038e-18
1170585581.8103027,-6.810517331167365e-19,-2.588613764516657e-18
1170585581.8105469,-6.747616143023194e-19,-2.5319676321342526e-18
1170585581.810791,-6.813626884514827e-19,-2.507597252591316e-18
1170585581.8110352,-6.858193429668211e-19,-2.5482307848234285e-18
1170585581.8112793,-6.762693376718121e-19,-2.5996874083721912e-18
1170585581.8115234,-6.696694871856485e-19,-2.5907453136993378e-18
1170585581.8117676,-6.754136177936738e-19,-2.5727802461733e-18
1170585581.8120117,-6.769518132745574e-19,-2.6446517374065066e-18
