time,strain_H1,strain_L1
1256999737.8999023,-6.704459964720267e-20,1.6940324387277899e-19
1256999737.9001465,-7.347704929229316e-20,-1.3370814669253955e-18
1256999737.9003906,-6.936524415187328e-20,-1.3867310573647401e-18
1256999737.9006348,-6.484293386709932e-20,1.0740022410600308e-19
1256999737.900879,-6.47839376601478e-20,1.879043596941302e-19
1256999737.901123,-7.186090093449141e-20,-1.3117398717227826e-18
1256999737.9013672,-7.358937875798069e-20,-1.438343335061996e-18
1256999737.9016113,-6.313750278850393e-20,5.346734256522818e-20
1256999737.9018555,-6.246876897701073e-20,2.0428354922879489e-19
1256999737.9020996,-7.019295851243686e-20,-1.2908156942895754e-18
1256999737.9023438,-6.860860144734922e-20,-1.4801251609391595e-18
1256999737.902588,-6.218221918943844e-20,2.5566075965723582e-21
1256999737.902832,-6.219969830663667e-20,2.22951530012714e-19
1256999737.9030762,-6.803130695956635e-20,-1.2609016059547185e-18
1256999737.9033203,-7.022140770030423e-20,-1.5239654717824634e-18
1256999737.9035645,-6.288693431760429e-20,-5.1011516826505866e-20
1256999737.9038086,-5.798923720412925e-20,2.3807523112041267e-19
1256999737.9040527,-6.49933077692577e-20,-1.2341939453614378e-18
1256999737.9042969,-6.657253504434372e-20,-1.5601130965648165e-18
1256999737.904541,-5.858911957415788e-20,-1.0081981226342283e-19
1256999737.9047852,-5.759421038602747e-20,2.5558248035526765e-19
1256999737.9050293,-6.322697562344345e-20,-1.1981700132516253e-18
1256999737.9052734,-6.63088105498941e-20,-1.5960563611151762e-18
1256999737.9055176,-6.075941666666406e-20,-1.5586213972943094e-19
1256999737.9057617,-5.3763145747043257e-20,2.7151325897477864e-19
1256999737.9060059,-5.787786445609057e-20,-1.1657796545857484e-18
1256999737.90625,-6.27758127740105e-20,-1.626255477412123e-18
1256999737.9064941,-5.630824552535965e-20,-2.0359536064824733e-19
1256999737.9067383,-5.265271790797508e-20,2.8641684762117084e-19
1256999737.9069824,-5.779827219213762e-20,-1.1239055511141297e-18
1256999737.9072266,-5.98099473970072e-20,-1.6543728938734686e-18
1256999737.9074707,-5.708279056004575e-20,-2.58847239396172e-19
1256999737.9077148,-4.935181359494587e-20,3.0138278793442604e-19
1256999737.907959,-5.040825618041078e-20,-1.086862313930209e-18
1256999737.9082031,-5.895251080057848e-20,-1.6774122850501e-18
1256999737.9084473,-5.230107474827747e-20,-3.040139448989006e-19
1256999737.9086914,-4.6270600240117903e-20,3.1623464201395344e-19
1256999737.9089355,-5.0957321641395497e-20,-1.0413126016286304e-18
1256999737.9091797,-5.460759145380968e-20,-1.696525464423395e-18
1256999737.9094238,-5.202895492125489e-20,-3.575106174179209e-19
1256999737.909668,-4.38192705232594e-20,3.290822265099356e-19
1256999737.909912,-4.4427987489991924e-20,-9.974715472206658e-19
1256999737.9101562,-5.1477795313638014e-20,-1.7141420396337652e-18
1256999737.9104004,-4.8651763556451965e-20,-4.014788522402654e-19
1256999737.9106445,-4.0270863263784636e-20,3.435694574570542e-19
