time,strain_H1,strain_L1
1239082260.0998535,-2.2205763789841226e-19,-1.5016216929981024e-19
1239082260.1000977,-2.3128961554636076e-19,-1.455207606506172e-19
1239082260.1003418,-2.2553202440577787e-19,-1.419352684933808e-19
1239082260.100586,-2.2408666376240636e-19,-1.4008646412490576e-19
1239082260.10083,-2.4699389395200713e-19,-1.389372757445429e-19
1239082260.1010742,-2.558555797016065e-19,-1.3608312189559492e-19
1239082260.1013184,-2.4878210715044515e-19,-1.3157955135613153e-19
1239082260.1015625,-2.560473598944252e-19,-1.2655502554892356e-19
1239082260.1018066,-2.672736433245481e-19,-1.2093961485682937e-19
1239082260.1020508,-2.7707187252167494e-19,-1.1574399152500506e-19
1239082260.102295,-2.7590274223822977e-19,-1.1233568548436973e-19
1239082260.102539,-2.691651892784483e-19,-1.0999858619892363e-19
1239082260.1027832,-2.8713670651086006e-19,-1.083062476381863e-19
1239082260.1030273,-3.0380738536660415e-19,-1.0530012489861983e-19
1239082260.1032715,-2.969249116944544e-19,-1.0084030388061542e-19
1239082260.1035156,-2.983825771305937e-19,-9.578515249977435e-20
1239082260.1037598,-3.1056502236200865e-19,-8.978169462800718e-20
1239082260.104004,-3.2021697619432627e-19,-8.420066791531341e-20
1239082260.104248,-3.226442680687647e-19,-8.03571940935962e-20
1239082260.1044922,-3.144665326804047e-19,-7.901638299570336e-20
1239082260.1047363,-3.262317013457629e-19,-7.659080437063753e-20
1239082260.1049805,-3.476490339449765e-19,-7.231940418437115e-20
1239082260.1052246,-3.417678071413144e-19,-6.828974677807458e-20
1239082260.1054688,-3.3970985949313677e-19,-6.246453010359986e-20
1239082260.105713,-3.5256502977959605e-19,-5.623605012203626e-20
1239082260.105957,-3.6101511524933055e-19,-5.1661488351733036e-20
1239082260.1062012,-3.653448670815128e-19,-4.796509461765704e-20
1239082260.1064453,-3.5840834410541855e-19,-4.5010704444222464e-20
1239082260.1066895,-3.629491169350212e-19,-4.2546533842939206e-20
1239082260.1069336,-3.86441604874523e-19,-3.9212967236812715e-20
1239082260.1071777,-3.8632712997868155e-19,-3.396814226174356e-20
1239082260.1074219,-3.7795126544277083e-19,-2.804665858731077e-20
1239082260.107666,-3.9079215775795673e-19,-2.2457662530751857e-20
1239082260.1079102,-4.001664902002859e-19,-1.7065513175221962e-20
1239082260.1081543,-4.030279470610328e-19,-1.3161373881411746e-20
1239082260.1083984,-3.9932350365539366e-19,-1.0677116924922334e-20
1239082260.1086426,-3.9781241451583317e-19,-8.013526684797724e-21
1239082260.1088867,-4.205021607457551e-19,-4.037723056641034e-21
1239082260.1091309,-4.2674628557012134e-19,1.6123412219242121e-21
1239082260.109375,-4.1422452948127644e-19,7.515879972469092e-21
1239082260.1096191,-4.2437820564398854e-19,1.3629157457518534e-20
1239082260.1098633,-4.359671867202622e-19,1.8491315511332153e-20
1239082260.1101074,-4.388942733348146e-19,2.1667266734848736e-20
1239082260.1103516,-4.366948097732538e-19,2.5196627807674267e-20
1239082260.1105957,-4.315444714325798e-19,2.8576317999684714e-20
1239082260.1108398,-4.4925260539336555e-19,3.2203699097531937e-20
1239082260.111084,-4.628743343672193e-19,3.768458542026986e-20
1239082260.1113281,-4.506878539584476e-19,4.414254665609479e-20
1239082260.1115723,-4.528264863836742e-19,4.9488605445536136e-20
1239082260.1118164,-4.670567978904782e-19,5.476837308444718e-20
1239082260.1120605,-4.70981802649125e-19,5.857609670653836e-20
1239082260.1123047,-4.690077977782564e-19,6.10817709521763e-20
1239082260.1125488,-4.635609649207621e-19,6.482133714073296e-20
1239082260.112793,-4.750392609442783e-19,6.827864431209535e-20
1239082260.113037,-4.926171689140828e-19,7.435352887072838e-20
1239082260.1132812,-4.828407727321465e-19,8.116120772482487e-20
1239082260.1135254,-4.792570282892685e-19,8.587893894633399e-20
1239082260.1137695,-4.940256221337414e-19,9.154586448233397e-20
1239082260.1140137,-4.976167551914564e-19,9.525640754339947e-20
1239082260.1142578,-4.968843827141947e-19,9.791399731507012e-20
1239082260.114502,-4.920647833314038e-19,1.0118087216326271e-19
1239082260.114746,-4.965842648456122e-19,1.0496766083900037e-19
1239082260.1149902,-5.16859056803452e-19,1.1146949983943491e-19
1239082260.1152344,-5.126822218569886e-19,1.1782875180050608e-19
1239082260.1154785,-5.019246157786152e-19,1.225197832829216e-19
1239082260.1157227,-5.147764764740703e-19,1.2815154162605436e-19
1239082260.1159668,-5.227653062509531e-19,1.3197621054862049e-19
1239082260.116211,-5.198109160018904e-19,1.3387613181203436e-19
1239082260.116455,-5.158944232097408e-19,1.3722711404765448e-19
1239082260.1166992,-5.166531433311352e-19,1.4213658929414686e-19
1239082260.1169434,-5.337385476016438e-19,1.4830088081850529e-19
1239082260.1171875,-5.37002630569171e-19,1.5396768975474472e-19
1239082260.1174316,-5.210410344848232e-19,1.599890334260195e-19
1239082260.1176758,-5.30086366723148e-19,1.6496940322776623e-19
1239082260.11792,-5.433035812671106e-19,1.6761699048716964e-19
1239082260.118164,-5.377400086396089e-19,1.7023955797388404e-19
1239082260.1184082,-5.338163653036933e-19,1.7377737592719235e-19
1239082260.1186523,-5.326235295411547e-19,1.7902463871036913e-19
1239082260.1188965,-5.455747848605015e-19,1.842440666273459e-19
1239082260.1191406,-5.559644742274003e-19,1.9009041938928822e-19
1239082260.1193848,-5.393794996157241e-19,1.9609220647639776e-19
1239082260.119629,-5.397575146116663e-19,1.9982848705435328e-19
1239082260.119873,-5.561240135537897e-19,2.0322648578345267e-19
1239082260.1201172,-5.525507260794439e-19,2.0555575293908043e-19
1239082260.1203613,-5.464117600913665e-19,2.0895785236870367e-19
1239082260.1206055,-5.449279242364067e-19,2.1392984003586933e-19
1239082260.1208496,-5.526259347034133e-19,2.192099852423705e-19
1239082260.1210938,-5.660956565398071e-19,2.256110118839649e-19
1239082260.121338,-5.540363776804229e-19,2.2994977068060594e-19
1239082260.121582,-5.459538708747916e-19,2.3431125396462094e-19
1239082260.1218262,-5.629443598322033e-19,2.3771643483790853e-19
1239082260.1220703,-5.622568532298659e-19,2.3880758605818573e-19
1239082260.1223145,-5.528522015348619e-19,2.431386466874278e-19
1239082260.1225586,-5.52167689978921e-19,2.476454816148106e-19
1239082260.1228027,-5.555632220976608e-19,2.525503914855203e-19
1239082260.1230469,-5.692337333560284e-19,2.592052856332915e-19
1239082260.123291,-5.628343906495655e-19,2.635767457595058e-19
1239082260.1235352,-5.481529515433545e-19,2.6734345678900676e-19
1239082260.1237793,-5.616156181120945e-19,2.698153062355249e-19
1239082260.1240234,-5.671550827833969e-19,2.723235517228112e-19
1239082260.1242676,-5.563887650749217e-19,2.759530991480285e-19
1239082260.1245117,-5.513468082800114e-19,2.796623824563223e-19
1239082260.1247559,-5.546241693125849e-19,2.854534715386786e-19
1239082260.125,-5.670639906392921e-19,2.9099991075175034e-19
1239082260.1252441,-5.64619349050546e-19,2.952179843534001e-19
1239082260.1254883,-5.479525600663875e-19,2.9819868432100254e-19
1239082260.1257324,-5.537214448481508e-19,3.000244909077909e-19
1239082260.1259766,-5.65064405196445e-19,3.025822620936745e-19
1239082260.1262207,-5.540859624992803e-19,3.057503816719472e-19
1239082260.1264648,-5.46029955186873e-19,3.1006943925418893e-19
1239082260.126709,-5.504142636470739e-19,3.1536349114496944e-19
1239082260.1269531,-5.568748520105889e-19,3.2064965562601163e-19
1239082260.1271973,-5.5905337794860155e-19,3.2434588599500523e-19
1239082260.1274414,-5.44264418183482e-19,3.2690636190217313e-19
1239082260.1276855,-5.406991415723525e-19,3.290917001209491e-19
1239082260.1279297,-5.554626787929115e-19,3.30588256365087e-19
1239082260.1281738,-5.486241766443426e-19,3.333794815049569e-19
1239082260.128418,-5.351169464778189e-19,3.3783473694850137e-19
1239082260.128662,-5.364744183733763e-19,3.4242473248675684e-19
1239082260.1289062,-5.435649555160203e-19,3.470320868313958e-19
1239082260.1291504,-5.473365607636833e-19,3.5101864306735735e-19
1239082260.1293945,-5.340024296426629e-19,3.5278862061935397e-19
1239082260.1296387,-5.250948698856741e-19,3.5430059726568556e-19
1239082260.1298828,-5.373743782594442e-19,3.5638471540662783e-19
1239082260.130127,-5.371094545592288e-19,3.5820523353572173e-19
1239082260.130371,-5.203501075133221e-19,3.622545082687904e-19
1239082260.1306152,-5.165371851952983e-19,3.6715300544475363e-19
1239082260.1308594,-5.260178408506353e-19,3.712190719454905e-19
1239082260.1311035,-5.291906012783559e-19,3.748102498581925e-19
1239082260.1313477,-5.178261900877621e-19,3.760847702254232e-19
1239082260.1315918,-5.066853137795008e-19,3.7660737679185753e-19
1239082260.131836,-5.132924851493254e-19,3.780645570844081e-19
1239082260.13208,-5.174810600807108e-19,3.803253879665662e-19
1239082260.1323242,-5.015925006890774e-19,3.8383215088129996e-19
1239082260.1325684,-4.929764519441015e-19,3.883275107691061e-19
1239082260.1328125,-5.015785280531529e-19,3.920838952155804e-19
1239082260.1330566,-5.051441440795777e-19,3.945017842591556e-19
1239082260.1333008,-4.960186950770033e-19,3.959109477607584e-19
1239082260.133545,-4.826785969800853e-19,3.953834113154835e-19
1239082260.133789,-4.834800369485751e-19,3.9629451238521747e-19
1239082260.1340332,-4.91981866125496e-19,3.992645845874158e-19
1239082260.1342773,-4.7880221869554205e-19,4.0178140065230737e-19
1239082260.1345215,-4.639464116882638e-19,4.056818409277491e-19
1239082260.1347656,-4.709996558512524e-19,4.091947562856151e-19
1239082260.1350098,-4.767300969798916e-19,4.1057930411554554e-19
1239082260.135254,-4.675656982090195e-19,4.1135190505085907e-19
1239082260.135498,-4.53912613828488e-19,4.115300186168605e-19
1239082260.1357422,-4.509503097564365e-19,4.116030164665537e-19
1239082260.1359863,-4.588587150310102e-19,4.1324705020575623e-19
1239082260.1362305,-4.505780008982086e-19,4.164404838493658e-19
1239082260.1364746,-4.314031336556593e-19,4.2076544003980796e-19
1239082260.1367188,-4.3527602913990985e-19,4.2244444745618554e-19
1239082260.136963,-4.432390846193361e-19,4.2265261229803185e-19
1239082260.137207,-4.3330729260971403e-19,4.243191030022797e-19
1239082260.1374512,-4.209659002427248e-19,4.2290936556802236e-19
1239082260.1376953,-4.1439744514643967e-19,4.2220502739454965e-19
1239082260.1379395,-4.1797103423242837e-19,4.240312746097403e-19
1239082260.1381836,-4.1636277562952116e-19,4.261370437035331e-19
1239082260.1384277,-3.970418766064764e-19,4.2942182771972267e-19
1239082260.1386719,-3.9195781639900444e-19,4.309516831252972e-19
1239082260.138916,-4.034634030367629e-19,4.314102479991949e-19
1239082260.1391602,-3.978244050203613e-19,4.3129780438170914e-19
1239082260.1394043,-3.813716948033686e-19,4.3005249987645016e-19
1239082260.1396484,-3.7408996723385954e-19,4.294398070957844e-19
1239082260.1398926,-3.746180354794924e-19,4.301164583070025e-19
1239082260.1401367,-3.749613726119087e-19,4.3262446059615593e-19
1239082260.1403809,-3.601049070405023e-19,4.348839410330491e-19
1239082260.140625,-3.46743515662818e-19,4.361079415123239e-19
1239082260.1408691,-3.5838734931343896e-19,4.355865844785744e-19
1239082260.1411133,-3.577385509639169e-19,4.342527837636978e-19
1239082260.1413574,-3.3731967438213225e-19,4.327511304141155e-19
1239082260.1416016,-3.294771487358164e-19,4.3074107080671875e-19
1239082260.1418457,-3.284852719365564e-19,4.315231311608668e-19
1239082260.1420898,-3.2810410486855307e-19,4.3359293622010224e-19
1239082260.142334,-3.169991409392314e-19,4.353882444645714e-19
1239082260.1425781,-2.994553393421772e-19,4.357168167924252e-19
1239082260.1428223,-3.0634618584072482e-19,4.345993395546776e-19
1239082260.1430664,-3.1138757481819654e-19,4.325119227473235e-19
1239082260.1433105,-2.9235445675889897e-19,4.3001179577494234e-19
1239082260.1435547,-2.8026011556885634e-19,4.288754033012221e-19
1239082260.1437988,-2.7889760501973217e-19,4.2768709005555305e-19
1239082260.144043,-2.7762551781897583e-19,4.3000454646837903e-19
1239082260.144287,-2.692754963203047e-19,4.315737829530724e-19
1239082260.1445312,-2.509522498556983e-19,4.30337099273064e-19
1239082260.1447754,-2.5163088596481416e-19,4.296732669114038e-19
1239082260.1450195,-2.612328178232861e-19,4.259553813091047e-19
1239082260.1452637,-2.4382629920963394e-19,4.234880862721308e-19
1239082260.1455078,-2.277430691443663e-19,4.2147058774076215e-19
1239082260.145752,-2.2672011257890974e-19,4.201641144754391e-19
1239082260.145996,-2.2293551049593955e-19,4.219021529880325e-19
1239082260.1462402,-2.18355694074159e-19,4.2211956848231246e-19
1239082260.1464844,-2.0111058482116495e-19,4.210024696877028e-19
1239082260.1467285,-1.930135781860646e-19,4.183775093372162e-19
1239082260.1469727,-2.0615431607372767e-19,4.1542646152981464e-19
1239082260.1472168,-1.9407749132307075e-19,4.1139999461181846e-19
1239082260.147461,-1.724334333010099e-19,4.0814780727497453e-19
1239082260.147705,-1.7004403513821568e-19,4.080791906008288e-19
1239082260.1479492,-1.6843290894779514e-19,4.082434839412107e-19
1239082260.1481934,-1.6255844437349103e-19,4.084741712706984e-19
1239082260.1484375,-1.477843629224896e-19,4.061641720270741e-19
1239082260.1486816,-1.364629031509873e-19,4.0301758789197176e-19
1239082260.1489258,-1.4539404853711648e-19,3.9959655550887066e-19
1239082260.14917,-1.4194820946990615e-19,3.9391532849364185e-19
1239082260.149414,-1.1744001992230243e-19,3.913974557851783e-19
1239082260.1496582,-1.1011087325555249e-19,3.9056246805458333e-19
1239082260.1499023,-1.1260668077368162e-19,3.896396912827751e-19
1239082260.1501465,-1.0376082889098499e-19,3.8969064690544667e-19
1239082260.1503906,-9.191623438420102e-20,3.8689254203544686e-19
1239082260.1506348,-7.968790654910587e-20,3.824032871068848e-19
1239082260.150879,-8.237311890952952e-20,3.778693368697027e-19
1239082260.151123,-8.623113537420263e-20,3.7291121319456424e-19
1239082260.1513672,-6.176245909370282e-20,3.692958886587296e-19
1239082260.1516113,-4.8824972091879404e-20,3.6774093007270464e-19
1239082260.1518555,-5.384482395783337e-20,3.666559171617907e-19
