time,strain_H1,strain_L1
1250426917.8999023,-2.997039549325317e-20,-2.2728265807020873e-20
1250426917.9001465,-3.1329239671144144e-20,-2.1730963412726358e-20
1250426917.9003906,-4.7276323423663914e-20,-1.8112229418572948e-20
1250426917.9006348,-2.748624881802728e-20,-1.651346054254515e-20
1250426917.900879,-1.3287699791359155e-20,-1.687142521154202e-20
1250426917.901123,-2.6523974650933592e-20,-1.5909475161297397e-20
1250426917.9013672,-2.8214572416166416e-20,-1.2017412999419901e-20
1250426917.9016113,-2.906218627295437e-20,-1.0927772014557315e-20
1250426917.9018555,-2.0422312456746882e-20,-1.1870809818863426e-20
1250426917.9020996,-1.2453374326747493e-20,-1.0524714713075599e-20
1250426917.9023438,-3.0280976284118805e-20,-7.75208953207865e-21
1250426917.902588,-2.0293192286950278e-20,-4.981461584390442e-21
1250426917.902832,2.348807373813784e-21,-6.2108530721062784e-21
1250426917.9030762,-8.843513542128095e-21,-5.111607291549251e-21
1250426917.9033203,-1.5833866419326493e-20,-8.525205266855656e-22
1250426917.9035645,-1.3442258928759056e-20,6.906644066956768e-23
1250426917.9038086,-9.649975288936143e-21,-5.326386873248126e-22
1250426917.9040527,1.4425893564566942e-21,-3.0516900280116717e-22
1250426917.9042969,-9.015601704114149e-21,3.6996610538463624e-21
1250426917.904541,-1.244961979327775e-20,6.078553542299774e-21
1250426917.9047852,1.379172654128967e-20,4.894325611981597e-21
1250426917.9050293,1.065624086975682e-20,6.279159341612646e-21
1250426917.9052734,-3.3192130330082466e-21,9.312256939779728e-21
1250426917.9055176,1.464075281865798e-21,1.1195542480048893e-20
1250426917.9057617,2.9279062675888247e-21,1.006990303284066e-20
1250426917.9060059,1.310010409805966e-20,1.117334383773279e-20
1250426917.90625,1.0951580587309512e-20,1.5146907662581127e-20
1250426917.9064941,4.460400070034602e-22,1.6194851779596505e-20
1250426917.9067383,2.1901072734410133e-20,1.6515209567898183e-20
1250426917.9069824,3.0281670838875316e-20,1.7196317446738736e-20
1250426917.9072266,1.1727026450467328e-20,2.0197024878710827e-20
1250426917.9074707,1.3301383145042045e-20,2.2880340577660296e-20
1250426917.9077148,2.038095666624137e-20,2.1028457452827043e-20
1250426917.907959,2.401005057087529e-20,2.1506041801283668e-20
1250426917.9082031,2.743256476251588e-20,2.5967129711411716e-20
