time,strain_H1,strain_L1
1251783831.5,1.1760474602524052e-19,5.1312892611349595e-20
1251783831.5002441,1.1243433585880514e-19,4.9706062623867324e-20
1251783831.5004883,1.27121764399483e-19,4.6614071167501075e-20
1251783831.5007324,1.3861308751884529e-19,4.71343695320829e-20
1251783831.5009766,1.1247950664573411e-19,4.7471806588796524e-20
1251783831.5012207,1.0591408351784596e-19,4.443541040511388e-20
1251783831.5014648,1.367492221020539e-19,4.3170266015104996e-20
1251783831.501709,1.3837636158380029e-19,4.270941775071734e-20
1251783831.5019531,1.198001626627837e-19,4.159651237140784e-20
1251783831.5021973,1.1548779319915094e-19,3.983929832982063e-20
1251783831.5024414,1.241234151777291e-19,3.775662265768685e-20
1251783831.5026855,1.3826790520627333e-19,3.785718789272371e-20
1251783831.5029297,1.2245048014782868e-19,3.697935844788094e-20
1251783831.5031738,1.0292286666020773e-19,3.4695155064629476e-20
1251783831.503418,1.3069532125324252e-19,3.326483471063353e-20
1251783831.503662,1.4412735267351553e-19,3.239792084655691e-20
1251783831.5039062,1.2144381842208132e-19,3.2093273163790536e-20
1251783831.5041504,1.1539340190313844e-19,2.947814008587332e-20
1251783831.5043945,1.2235270779924329e-19,2.6920213082201208e-20
1251783831.5046387,1.343575326223382e-19,2.7327938025481737e-20
1251783831.5048828,1.2906627596391214e-19,2.62584026309302e-20
1251783831.505127,1.0366858302091375e-19,2.3817974864073718e-20
1251783831.505371,1.2050917685139606e-19,2.184878674830529e-20
1251783831.5056152,1.4568768629523492e-19,2.1715228996468465e-20
1251783831.5058594,1.255713787823407e-19,2.098297608568672e-20
1251783831.5061035,1.1102690491507569e-19,1.8042968529553592e-20
1251783831.5063477,1.199383042537932e-19,1.6948351594032677e-20
1251783831.5065918,1.3116967862093194e-19,1.6112222006651298e-20
1251783831.506836,1.2890707885637503e-19,1.4708221019701292e-20
1251783831.50708,1.0641338611780592e-19,1.3269696853636003e-20
1251783831.5073242,1.1163046479169334e-19,1.1001925481730088e-20
1251783831.5075684,1.4080028329599553e-19,1.0396776018807176e-20
1251783831.5078125,1.2966468823425653e-19,9.769283365768155e-21
