time,strain_H1,strain_L1
1264213227.8999023,6.252596976179754e-20,8.397096603377033e-20
1264213227.9001465,6.859332555475886e-20,9.737663994935008e-20
1264213227.9003906,5.650006010479019e-20,1.0898694303806806e-19
1264213227.9006348,5.699435115212513e-20,1.2137244681728164e-19
1264213227.900879,6.376194076617022e-20,1.3485069729983055e-19
1264213227.901123,6.7921676314233e-20,1.4813943117544315e-19
1264213227.9013672,6.289248578046755e-20,1.6068799899891442e-19
1264213227.9016113,5.2605653014634935e-20,1.7287492555031771e-19
1264213227.9018555,6.268286147177629e-20,1.8635239531375405e-19
1264213227.9020996,7.230395889751701e-20,1.9837185443604537e-19
1264213227.9023438,6.132028874624472e-20,2.10726599042826e-19
1264213227.902588,5.850569112287067e-20,2.2426104468770245e-19
1264213227.902832,6.49276434977332e-20,2.366197381677622e-19
1264213227.9030762,6.954630844531833e-20,2.494702364463432e-19
1264213227.9033203,6.762526867291457e-20,2.6145076715780214e-19
1264213227.9035645,5.588956833906708e-20,2.7376179203699737e-19
1264213227.9038086,6.24309033041691e-20,2.8663119035874465e-19
1264213227.9040527,7.438517105238099e-20,2.989679899594796e-19
1264213227.9042969,6.570264244196753e-20,3.1146862213069357e-19
1264213227.904541,6.019489475346736e-20,3.230275467152264e-19
1264213227.9047852,6.461087721300674e-20,3.358272943982388e-19
1264213227.9050293,7.08398063090553e-20,3.490924011021881e-19
1264213227.9052734,7.063008885886378e-20,3.609612571282657e-19
1264213227.9055176,5.875491173145836e-20,3.7273890448525896e-19
1264213227.9057617,6.049617115669518e-20,3.850937525962703e-19
1264213227.9060059,7.419605407460121e-20,3.9704655481928664e-19
1264213227.90625,6.961282573345803e-20,4.086426010194138e-19
1264213227.9064941,6.064953972003948e-20,4.213741811293745e-19
1264213227.9067383,6.412474720475924e-20,4.3333884029436683e-19
1264213227.9069824,7.045139576967058e-20,4.44900657071628e-19
1264213227.9072266,7.216025420111255e-20,4.577952798744513e-19
1264213227.9074707,6.097814321077036e-20,4.69192737892138e-19
1264213227.9077148,5.843254594917925e-20,4.806819333819395e-19
1264213227.907959,7.36463052161499e-20,4.929782820416192e-19
1264213227.9082031,7.104615884701887e-20,5.036496813972081e-19
1264213227.9084473,6.082643028239432e-20,5.152101309527193e-19
1264213227.9086914,6.383980559484941e-20,5.273628998166656e-19
1264213227.9089355,6.811767898461383e-20,5.3903203748237e-19
1264213227.9091797,7.17663920517536e-20,5.496365405398976e-19
1264213227.9094238,6.387058123994207e-20,5.607055673335679e-19
1264213227.909668,5.639248706392707e-20,5.739198128801234e-19
1264213227.909912,7.020223556698816e-20,5.843179101687296e-19
1264213227.9101562,7.26744035879864e-20,5.947343509497766e-19
1264213227.9104004,6.123830599652895e-20,6.063587186571073e-19
1264213227.9106445,6.162345682061577e-20,6.168337515304704e-19
1264213227.9108887,6.618952275271682e-20,6.285668118641424e-19
1264213227.9111328,7.012166156124281e-20,6.393025284626795e-19
1264213227.911377,6.437105348003823e-20,6.497014493080063e-19
1264213227.911621,5.443919129467109e-20,6.604530277127477e-19
1264213227.9118652,6.511396239921913e-20,6.713489400593592e-19
1264213227.9121094,7.204038581673814e-20,6.821389116845792e-19
1264213227.9123535,6.016372756089657e-20,6.914770890922766e-19
1264213227.9125977,5.804192387621598e-20,7.029111124510027e-19
1264213227.9128418,6.352614617104462e-20,7.139108861325317e-19
1264213227.913086,6.712801232515682e-20,7.226050842172958e-19
1264213227.91333,6.465773303696005e-20,7.332863466283668e-19
1264213227.9135742,5.354762606822293e-20,7.437892695557277e-19
1264213227.9138184,5.825896698964704e-20,7.5337864874508525e-19
1264213227.9140625,7.06670256863583e-20,7.636104063252497e-19
1264213227.9143066,6.079203601193905e-20,7.725669547198541e-19
1264213227.9145508,5.250931220444722e-20,7.828133007090957e-19
1264213227.914795,5.940644061266722e-20,7.929692641045228e-19
1264213227.915039,6.287193511201393e-20,8.011561889811794e-19
1264213227.9152832,6.123200586462645e-20,8.112469335372376e-19
1264213227.9155273,5.179019253769746e-20,8.210728445495907e-19
1264213227.9157715,5.131652795959806e-20,8.300985013824965e-19
1264213227.9160156,6.607503488170524e-20,8.390136529029551e-19
1264213227.9162598,6.099715576953175e-20,8.479427411752795e-19
1264213227.916504,4.7948148342802125e-20,8.57064724809506e-19
1264213227.916748,5.399491101573845e-20,8.657861914887904e-19
1264213227.9169922,5.900679645770551e-20,8.747850741994573e-19
1264213227.9172363,5.637107216475429e-20,8.824093132284273e-19
1264213227.9174805,4.978235542084921e-20,8.919234126052397e-19
1264213227.9177246,4.595170514150088e-20,9.011549784448512e-19
1264213227.9179688,5.769868497411348e-20,9.077483306242388e-19
1264213227.918213,5.913469878858203e-20,9.168254316536478e-19
1264213227.918457,4.3013316534193366e-20,9.251045100333436e-19
1264213227.9187012,4.527335374409015e-20,9.326470983768751e-19
1264213227.9189453,5.521524666484023e-20,9.40736135136962e-19
