time,strain_H1,strain_L1
1247616532.6999512,1.119835799755808e-19,3.731717779701884e-19
1247616532.7001953,1.0917142484119125e-19,3.7077316222998676e-19
1247616532.7004395,1.0954393668810242e-19,3.844124521865575e-19
1247616532.7006836,1.0726854818330162e-19,3.756581067043642e-19
1247616532.7009277,1.0719237947192541e-19,3.5173414344918747e-19
1247616532.7011719,1.0781675500682013e-19,3.4845414477812467e-19
1247616532.701416,1.0620420063752841e-19,3.6101193196933817e-19
1247616532.7016602,1.0602942843351464e-19,3.5086530587216635e-19
1247616532.7019043,1.0200424396153672e-19,3.253714498841212e-19
1247616532.7021484,9.754794142741642e-20,3.227900816096231e-19
1247616532.7023926,9.776715034541151e-20,3.353730075608354e-19
1247616532.7026367,9.739492139168256e-20,3.269477898586241e-19
1247616532.7028809,9.49463449179957e-20,3.0222499154355996e-19
1247616532.703125,9.479710475023477e-20,2.9938365434585026e-19
1247616532.7033691,9.515277796890789e-20,3.11268477486641e-19
1247616532.7036133,9.287125988569346e-20,3.004889641687839e-19
1247616532.7038574,9.075682172372917e-20,2.749941842842291e-19
1247616532.7041016,8.550245117090131e-20,2.714159078631215e-19
1247616532.7043457,8.389707398452139e-20,2.8449505017111436e-19
1247616532.7045898,8.531534018321548e-20,2.7503966091014503e-19
1247616532.704834,8.140043449246443e-20,2.502013833140271e-19
1247616532.7050781,8.171271634643567e-20,2.474017389484129e-19
1247616532.7053223,8.144219819395621e-20,2.5866502845352872e-19
1247616532.7055664,7.809891488560747e-20,2.4804756997986387e-19
1247616532.7058105,7.73252610084018e-20,2.2171333937439818e-19
1247616532.7060547,7.255847415191015e-20,2.1877140071804187e-19
1247616532.7062988,6.863414172358872e-20,2.3204248954230325e-19
1247616532.706543,6.97926499729187e-20,2.2171199655896086e-19
1247616532.706787,6.832921957662288e-20,1.969579228291821e-19
1247616532.7070312,6.605466660621289e-20,1.9373780336558887e-19
1247616532.7072754,6.65876141903439e-20,2.046379851647277e-19
1247616532.7075195,6.486291328379634e-20,1.9425813879059195e-19
1247616532.7077637,6.062227901128944e-20,1.6731338608069954e-19
1247616532.7080078,5.764630733529491e-20,1.6404606510767595e-19
1247616532.708252,5.427230852644221e-20,1.7741058272025936e-19
1247616532.708496,5.2632527023512686e-20,1.6672911706842314e-19
1247616532.7087402,5.352276824214492e-20,1.4228840438041738e-19
1247616532.7089844,5.132640186248983e-20,1.393709913564834e-19
