time,strain_H1,strain_L1
1176047815.0,-2.3788052339799726e-19,-2.0549936027429405e-20
1176047815.0002441,-2.5524409033859176e-19,-1.020592669638564e-21
1176047815.0004883,-2.679604803487822e-19,-5.850800126711692e-21
1176047815.0007324,-2.373289981594114e-19,-8.454021803618115e-21
1176047815.0009766,-2.1201454143080053e-19,9.443424775127569e-21
1176047815.0012207,-2.3461923917614735e-19,-4.255307686827553e-21
1176047815.0014648,-2.4591828256361144e-19,1.4921490183057941e-21
1176047815.001709,-2.1504626033335546e-19,1.3634248169382555e-20
1176047815.0019531,-1.933497937692803e-19,-3.5910154506580655e-22
1176047815.0021973,-2.087242375535195e-19,1.2900816930564376e-20
1176047815.0024414,-2.2208911905651333e-19,1.6825485660930186e-20
1176047815.0026855,-1.979078138428567e-19,8.318183281559546e-21
1176047815.0029297,-1.6791243783338953e-19,2.679250143090072e-20
1176047815.0031738,-1.8125787219630344e-19,2.0311395451066373e-20
1176047815.003418,-2.008475992009022e-19,1.5456641394861805e-20
1176047815.003662,-1.7392429076581418e-19,3.284360251555388e-20
1176047815.0039062,-1.4588599283681596e-19,2.0854887150087967e-20
1176047815.0041504,-1.5748254268483266e-19,2.5454835462654095e-20
1176047815.0043945,-1.7440318876846378e-19,4.0717396103745436e-20
1176047815.0046387,-1.5527508569249862e-19,2.810181352667913e-20
1176047815.0048828,-1.217073921677479e-19,3.9166707973157804e-20
1176047815.005127,-1.3030310831325012e-19,4.504719720526423e-20
1176047815.005371,-1.5244518668583945e-19,3.167634240093416e-20
1176047815.0056152,-1.3180544451418643e-19,4.675862171280578e-20
1176047815.0058594,-9.925847055783994e-20,4.658676471357443e-20
1176047815.0061035,-1.0519226427549313e-19,4.0850857737600696e-20
1176047815.0063477,-1.259270790230658e-19,5.8292822455448e-20
1176047815.0065918,-1.0980834194058097e-19,5.0065079187666267e-20
1176047815.006836,-7.679610194577902e-20,5.20163810398665e-20
1176047815.00708,-7.722983800715842e-20,6.64179401063605e-20
1176047815.0073242,-9.98126624493856e-20,5.32376955245402e-20
1176047815.0075684,-8.883369334490896e-20,6.107196264563981e-20
1176047815.0078125,-5.193985309358789e-20,6.8075440188806e-20
1176047815.0080566,-5.1458079366031866e-20,5.815787585108818e-20
1176047815.0083008,-7.309199754198013e-20,7.421331659443952e-20
1176047815.008545,-6.354834732253586e-20,7.471688519429777e-20
1176047815.008789,-3.022926064888769e-20,6.683968378264378e-20
1176047815.0090332,-2.2544220758808086e-20,8.230496019840506e-20
1176047815.0092773,-4.6802225419870654e-20,7.662298241314782e-20
1176047815.0095215,-4.1279830341835247e-20,7.517473214435235e-20
1176047815.0097656,-4.077814830711603e-21,8.769931392753605e-20
1176047815.0100098,1.8670753981691748e-21,7.988500115817173e-20
1176047815.010254,-1.8666532311582404e-20,8.714726374061837e-20
1176047815.010498,-1.38915945409645e-20,9.522690857384137e-20
1176047815.0107422,1.8326126779751018e-20,8.844298056295983e-20
1176047815.0109863,2.9894601205668736e-20,9.661364921428413e-20
1176047815.0112305,8.84531827438522e-21,9.62451519738671e-20
1176047815.0114746,8.859714824541064e-21,9.306116922018513e-20
1176047815.0117188,4.366416766755268e-20,1.0232849713754286e-19
1176047815.011963,5.688578361794232e-20,1.0119146068782132e-19
1176047815.012207,3.729632823197821e-20,1.0343802499532643e-19
1176047815.0124512,3.575490359500556e-20,1.1112893808417351e-19
1176047815.0126953,6.634189763727705e-20,1.0739540727777003e-19
1176047815.0129395,8.370781723881467e-20,1.1140197227334992e-19
1176047815.0131836,6.624529895121019e-20,1.1639531886996224e-19
1176047815.0134277,5.844007404207282e-20,1.110415145736365e-19
1176047815.0136719,9.067936500943005e-20,1.163297585590166e-19
1176047815.013916,1.12725351107295e-19,1.203707259628554e-19
1176047815.0141602,9.353055961163986e-20,1.2042405803518662e-19
1176047815.0144043,8.635304298196271e-20,1.261567565073554e-19
1176047815.0146484,1.1497381034342503e-19,1.2687841371371426e-19
1176047815.0148926,1.3799157934678548e-19,1.2904038031000586e-19
1176047815.0151367,1.2460625104507813e-19,1.2936067040884794e-19
1176047815.0153809,1.1052914343549992e-19,1.2996344555090504e-19
1176047815.015625,1.395051700191419e-19,1.3384874353883596e-19
1176047815.0158691,1.6688540867512548e-19,1.343375743663795e-19
1176047815.0161133,1.510651446333147e-19,1.4021563129122584e-19
1176047815.0163574,1.3889794281133115e-19,1.4067116704365388e-19
1176047815.0166016,1.6473622631825559e-19,1.4178475041455692e-19
1176047815.0168457,1.901797055491974e-19,1.4762496956761268e-19
1176047815.0170898,1.813563733707149e-19,1.4318953955405525e-19
1176047815.017334,1.652974034775872e-19,1.4710403610441365e-19
1176047815.0175781,1.8676937794010322e-19,1.5224427908874407e-19
1176047815.0178223,2.1893263610474022e-19,1.4823762222719964e-19
1176047815.0180664,2.0844415374463352e-19,1.5532341619345058e-19
1176047815.0183105,1.9112444136034274e-19,1.5876579701966624e-19
