t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
1.2e-05,0.001473472,1.0544200000000001,0.0013974241763244247,0.1,2.083833992094862,1.9658811246177944e-18,1.4400000000000002e+38,1.44e+30,9.880717128619305e+19
1.3e-05,0.0014880969999999999,1.054705,0.0014109130041101538,0.1,2.082339585389931,1.9552484369858502e-18,1.69e+38,1.6899999999999998e+30,9.870841350202876e+19
1.4e-05,0.0015027480000000001,1.05499,0.001424419188807477,0.1,2.0808481262327416,1.9447178749838704e-18,1.96e+38,1.96e+30,9.86097544262862e+19
1.4999999999999999e-05,0.001517425,1.055275,0.0014379427163535572,0.1,2.07935960591133,1.9342880054989116e-18,2.2499999999999995e+38,2.2499999999999994e+30,9.851119396030626e+19
1.6e-05,0.001532128,1.05556,0.0014514835727007464,0.1,2.0778740157480318,1.9239574219889175e-18,2.56e+38,2.56e+30,9.841273200552852e+19
1.7e-05,0.0015468569999999996,1.055845,0.0014650417438165637,0.1,2.0763913470993116,1.913724743870333e-18,2.8900000000000004e+38,2.89e+30,9.831436846349096e+19
1.8e-05,0.0015616120000000002,1.05613,0.0014786172156836756,0.1,2.0749115913555993,1.9035886159225675e-18,3.2399999999999996e+38,3.239999999999999e+30,9.821610323583007e+19
1.8999999999999998e-05,0.001576393,1.0564149999999999,0.0014922099742998728,0.1,2.073434739941119,1.8935477077087845e-18,3.6099999999999986e+38,3.609999999999998e+30,9.81179362242806e+19
1.9999999999999998e-05,0.0015912,1.0567,0.0015058200056780545,0.1,2.0719607843137253,1.883600713012477e-18,3.9999999999999984e+38,3.9999999999999984e+30,9.801986733067552e+19
2.1e-05,0.0016060329999999998,1.056985,0.0015194472958462038,0.1,2.0704897159647406,1.873746349289358e-18,4.41e+38,4.409999999999999e+30,9.792189645694596e+19
2.2e-05,0.001620892,1.05727,0.0015330918308473713,0.1,2.0690215264187866,1.863983357134042e-18,4.84e+38,4.8399999999999993e+30,9.7824023505121e+19
2.3e-05,0.001635777,1.0575549999999998,0.0015467535967396498,0.1,2.0675562072336264,1.8543104997610997e-18,5.29e+38,5.29e+30,9.772624837732771e+19
