time,ip
-0.939,-0.00030916443
-0.9385,-0.0009274933
-0.938,-0.00030916443
-0.9375,-0.003400809
-0.937,0.0018549867
-0.9365,0.00030916443
-0.936,-0.00030916443
-0.9355,-0.00030916443
-0.9349999999999998,0.00015458222
-0.9345,0.00139124
-0.9339999999999999,-0.0029370622
-0.9335,0.00061832886
-0.9329999999999999,0.00046374666
-0.9325,0.0020095687
-0.9319999999999999,-0.00139124
-0.9315,0.00046374666
-0.9309999999999999,0.00015458222
-0.9305,0.00046374666
-0.9299999999999999,-0.0024733155
-0.9295,0.0
-0.9289999999999999,-0.0038645554
-0.9285,0.0
-0.9279999999999999,0.0007729111
-0.9275,-0.002164151
-0.9269999999999999,-0.00556496
-0.9265,0.0018549867
-0.9259999999999999,0.0009274933
-0.9255,0.0037099733
-0.9249999999999999,-0.002164151
-0.9245,0.0007729111
-0.9239999999999999,-0.0017004044
-0.9235,-0.0009274933
-0.9229999999999999,-0.0010820755
-0.9225,0.00015458222
-0.9219999999999999,0.0026278978
-0.9215,0.00046374666
-0.9209999999999999,-0.00046374666
-0.9205,-0.0023187334
-0.9199999999999999,-0.00046374666
-0.9195,0.00046374666
-0.9189999999999999,-0.0060287067
-0.9185,0.00139124
-0.9179999999999999,-0.00015458222
-0.9175,-0.0032462266
-0.9169999999999999,-0.00015458222
-0.9165,-0.00061832886
-0.9159999999999999,0.0007729111
-0.9155,-0.0012366577
-0.9149999999999999,0.0009274933
-0.9145,-0.00061832886
-0.9139999999999999,-0.003400809
-0.9135,-0.00061832886
-0.9129999999999999,0.0007729111
-0.9125,0.0009274933
-0.9119999999999999,-0.0023187334
-0.9115,0.002164151
-0.9109999999999999,-0.0010820755
-0.9105,-0.00278248
-0.9099999999999999,-0.0010820755
-0.9095,0.00015458222
-0.9089999999999999,-0.0018549867
-0.9085,-0.0010820755
-0.9079999999999999,-0.0029370622
-0.9075,-0.0044828844
-0.9069999999999999,-0.00139124
-0.9065,-0.00015458222
-0.9059999999999999,0.0010820755
-0.9055,-0.00015458222
-0.9049999999999999,-0.00046374666
-0.9045,0.0010820755
-0.9039999999999999,-0.0044828844
-0.9035,-0.0017004044
-0.9029999999999999,-0.00030916443
-0.9025,0.0009274933
-0.9019999999999999,-0.00030916443
-0.9015,-0.0012366577
-0.9009999999999999,0.0009274933
-0.9005,-0.0009274933
-0.8999999999999999,0.0037099733
-0.8995,-0.00278248
-0.8989999999999999,-0.00030916443
-0.8985,-0.0009274933
-0.8979999999999999,-0.0010820755
-0.8975,-0.0009274933
-0.8969999999999999,-0.0010820755
-0.8965,0.00046374666
-0.8959999999999999,-0.0020095687
-0.8955,-0.0029370622
-0.8949999999999999,-0.00015458222
-0.8945,-0.00139124
-0.8939999999999999,-0.005101213
-0.8935,-0.00046374666
-0.8929999999999999,-0.00139124
-0.8925,0.0020095687
-0.8919999999999999,-0.0026278978
-0.8915,-0.00015458222
-0.8909999999999999,0.0
-0.8905,-0.0029370622
-0.8899999999999999,-0.00030916443
-0.8895,-0.0012366577
-0.8889999999999999,-0.0009274933
-0.8885,0.00278248
-0.8879999999999999,-0.00030916443
-0.8875,-0.00030916443
-0.8869999999999999,-0.0009274933
-0.8865,0.0
-0.8859999999999999,0.00030916443
-0.8855,0.00030916443
-0.8849999999999999,0.00139124
-0.8845,0.0017004044
