time,iprog
-8.9995,-0.0030517578
-5.0,-0.0030517578
-4.99975,-0.0030517578
-4.99,-0.0030517578
-4.98,-0.0030517578
-4.97,-0.0030517578
-4.96,-0.0030517578
-4.95,-0.0030517578
-4.94,-0.0030517578
-4.93,-0.0030517578
-4.92,-0.0030517578
-4.91,-0.0030517578
-4.9,-0.0030517578
-4.89,-0.0030517578
-4.88,-0.0030517578
-4.87,-0.0030517578
-4.86,-0.0030517578
-4.85,-0.0030517578
-4.84,-0.0030517578
-4.83,-0.0030517578
-4.82,-0.0030517578
-4.81,-0.0030517578
-4.8,-0.0030517578
-4.79,-0.0030517578
-4.78,-0.0030517578
-4.77,-0.0030517578
-4.7599993,-0.0030517578
-4.75,-0.0030517578
-4.74,-0.0030517578
-4.73,-0.0030517578
-4.72,-0.0030517578
-4.71,-0.0030517578
-4.7,-0.0030517578
-4.69,-0.0030517578
-4.68,-0.0030517578
-4.67,-0.0030517578
-4.66,-0.0030517578
-4.65,-0.0030517578
-4.64,-0.0030517578
-4.63,-0.0030517578
-4.62,-0.0030517578
-4.61,-0.0030517578
-4.6,-0.0030517578
-4.59,-0.0030517578
-4.58,-0.0030517578
-4.57,-0.0030517578
-4.56,-0.0030517578
-4.55,-0.0030517578
-4.54,-0.0030517578
-4.53,-0.0030517578
-4.52,-0.0030517578
-4.5099993,-0.0030517578
-4.5,-0.0030517578
-4.49,-0.0030517578
-4.48,-0.0030517578
-4.47,-0.0030517578
-4.46,-0.0030517578
-4.45,-0.0030517578
-4.44,-0.0030517578
-4.43,-0.0030517578
-4.42,-0.0030517578
-4.41,-0.0030517578
-4.4,-0.0030517578
-4.39,-0.0030517578
-4.38,-0.0030517578
-4.37,-0.0030517578
-4.36,-0.0030517578
-4.35,-0.0030517578
-4.34,-0.0030517578
-4.33,-0.0030517578
-4.32,-0.0030517578
-4.31,-0.0030517578
-4.3,-0.0030517578
-4.29,-0.0030517578
-4.28,-0.0030517578
-4.27,-0.0030517578
-4.2599993,-0.0030517578
-4.25,-0.0030517578
-4.24,-0.0030517578
-4.23,-0.0030517578
-4.22,-0.0030517578
-4.21,-0.0030517578
-4.2,-0.0030517578
-4.19,-0.0030517578
-4.18,-0.0030517578
-4.17,-0.0030517578
-4.16,-0.0030517578
-4.15,-0.0030517578
-4.14,-0.0030517578
-4.13,-0.0030517578
-4.12,-0.0030517578
-4.11,-0.0030517578
-4.1,-0.0030517578
-4.09,-0.0030517578
-4.08,-0.0030517578
-4.07,-0.0030517578
-4.06,-0.0030517578
-4.05,-0.0030517578
-4.04,-0.0030517578
-4.03,-0.0030517578
-4.02,-0.0030517578
-4.0099998,-0.0030517578
-4.0,-0.0030517578
-3.99,-0.0030517578
-3.98,-0.0030517578
-3.97,-0.0030517578
-3.96,-0.0030517578
-3.95,-0.0030517578
-3.94,-0.0030517578
-3.93,-0.0030517578
